"IP","Hostname","Status"
"192.168.5.1","Unknown","Online"
"192.168.5.2","-","Offline"
"192.168.5.3","Unknown","Online"
"192.168.5.4","Unknown","Online"
"192.168.5.5","-","Offline"
"192.168.5.6","-","Offline"
"192.168.5.7","-","Offline"
"192.168.5.8","-","Offline"
"192.168.5.9","-","Offline"
"192.168.5.10","-","Offline"
"192.168.5.11","-","Offline"
"192.168.5.12","-","Offline"
"192.168.5.13","-","Offline"
"192.168.5.14","-","Offline"
"192.168.5.15","-","Offline"
"192.168.5.16","-","Offline"
"192.168.5.17","-","Offline"
"192.168.5.18","-","Offline"
"192.168.5.19","-","Offline"
"192.168.5.20","-","Offline"
"192.168.5.21","-","Offline"
"192.168.5.22","-","Offline"
"192.168.5.23","-","Offline"
"192.168.5.24","-","Offline"
"192.168.5.25","-","Offline"
"192.168.5.26","-","Offline"
"192.168.5.27","-","Offline"
"192.168.5.28","-","Offline"
"192.168.5.29","-","Offline"
"192.168.5.30","-","Offline"
"192.168.5.31","-","Offline"
"192.168.5.32","-","Offline"
"192.168.5.33","-","Offline"
"192.168.5.34","-","Offline"
"192.168.5.35","-","Offline"
"192.168.5.36","-","Offline"
"192.168.5.37","-","Offline"
"192.168.5.38","-","Offline"
"192.168.5.39","-","Offline"
"192.168.5.40","-","Offline"
"192.168.5.41","-","Offline"
"192.168.5.42","-","Offline"
"192.168.5.43","-","Offline"
"192.168.5.44","-","Offline"
"192.168.5.45","-","Offline"
"192.168.5.46","-","Offline"
"192.168.5.47","-","Offline"
"192.168.5.48","-","Offline"
"192.168.5.49","-","Offline"
"192.168.5.50","-","Offline"
"192.168.5.51","-","Offline"
"192.168.5.52","-","Offline"
"192.168.5.53","-","Offline"
"192.168.5.54","-","Offline"
"192.168.5.55","-","Offline"
"192.168.5.56","-","Offline"
"192.168.5.57","-","Offline"
"192.168.5.58","-","Offline"
"192.168.5.59","-","Offline"
"192.168.5.60","-","Offline"
"192.168.5.61","-","Offline"
"192.168.5.62","-","Offline"
"192.168.5.63","-","Offline"
"192.168.5.64","-","Offline"
"192.168.5.65","-","Offline"
"192.168.5.66","-","Offline"
"192.168.5.67","-","Offline"
"192.168.5.68","-","Offline"
"192.168.5.69","-","Offline"
"192.168.5.70","-","Offline"
"192.168.5.71","-","Offline"
"192.168.5.72","-","Offline"
"192.168.5.73","-","Offline"
"192.168.5.74","-","Offline"
"192.168.5.75","-","Offline"
"192.168.5.76","-","Offline"
"192.168.5.77","-","Offline"
"192.168.5.78","-","Offline"
"192.168.5.79","-","Offline"
"192.168.5.80","-","Offline"
"192.168.5.81","-","Offline"
"192.168.5.82","-","Offline"
"192.168.5.83","-","Offline"
"192.168.5.84","-","Offline"
"192.168.5.85","-","Offline"
"192.168.5.86","-","Offline"
"192.168.5.87","-","Offline"
"192.168.5.88","-","Offline"
"192.168.5.89","-","Offline"
"192.168.5.90","-","Offline"
"192.168.5.91","-","Offline"
"192.168.5.92","-","Offline"
"192.168.5.93","-","Offline"
"192.168.5.94","-","Offline"
"192.168.5.95","-","Offline"
"192.168.5.96","-","Offline"
"192.168.5.97","-","Offline"
"192.168.5.98","-","Offline"
"192.168.5.99","-","Offline"
"192.168.5.100","-","Offline"
"192.168.5.101","-","Offline"
"192.168.5.102","-","Offline"
"192.168.5.103","-","Offline"
"192.168.5.104","-","Offline"
"192.168.5.105","-","Offline"
"192.168.5.106","Unknown","Online"
"192.168.5.107","Unknown","Online"
"192.168.5.108","Unknown","Online"
"192.168.5.109","-","Offline"
"192.168.5.110","Unknown","Online"
"192.168.5.111","-","Offline"
"192.168.5.112","-","Offline"
"192.168.5.113","-","Offline"
"192.168.5.114","-","Offline"
"192.168.5.115","-","Offline"
"192.168.5.116","-","Offline"
"192.168.5.117","-","Offline"
"192.168.5.118","-","Offline"
"192.168.5.119","-","Offline"
"192.168.5.120","-","Offline"
"192.168.5.121","-","Offline"
"192.168.5.122","-","Offline"
"192.168.5.123","-","Offline"
"192.168.5.124","-","Offline"
"192.168.5.125","-","Offline"
"192.168.5.126","Unknown","Online"
"192.168.5.127","Unknown","Online"
"192.168.5.128","-","Offline"
"192.168.5.129","-","Offline"
"192.168.5.130","Unknown","Online"
"192.168.5.131","-","Offline"
"192.168.5.132","Unknown","Online"
"192.168.5.133","-","Offline"
"192.168.5.134","Unknown","Online"
"192.168.5.135","-","Offline"
"192.168.5.136","-","Offline"
"192.168.5.137","-","Offline"
"192.168.5.138","-","Offline"
"192.168.5.139","-","Offline"
"192.168.5.140","MAC-212ED9","Online"
"192.168.5.141","-","Offline"
"192.168.5.142","-","Offline"
"192.168.5.143","Unknown","Online"
